Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
NCM42,OUT035,1917.9794
FDY59,OUT010,140.48416
DRI49,OUT049,1261.4838
FDT28,OUT019,428.87762
FDQ22,OUT018,461.29636
FDR60,OUT049,1253.3127
FDC50,OUT019,294.44885
FDV24,OUT013,2279.333
DRF48,OUT010,-149.05693
FDQ47,OUT046,608.30524
DRN36,OUT049,1900.9324
NCY06,OUT035,2430.8198
FDE52,OUT035,1526.0306
NCB54,OUT045,1902.855
NCF31,OUT035,2349.87
FDJ08,OUT027,3889.3857
NCC07,OUT017,1574.8271
NCD19,OUT027,1746.7085
FDL46,OUT049,2165.2322
FDM20,OUT045,4440.345
NCI06,OUT010,444.62784
DRM11,OUT035,5240.3755
NCH07,OUT018,2326.8057
FDS23,OUT013,2124.9739
FDO49,OUT018,445.45187
FDS35,OUT049,1151.1234
DRK39,OUT045,1102.2009
DRI39,OUT049,650.75867
FDV04,OUT017,1857.474
NCN14,OUT035,3402.1475
FDH08,OUT013,5076.0957
FDS20,OUT046,3242.5667
FDV40,OUT049,1084.7529
FDZ48,OUT010,240.33394
FDS24,OUT027,2185.8708
FDK44,OUT049,2649.8882
FDS48,OUT045,2768.3845
FDK26,OUT010,350.83325
FDD23,OUT045,3847.106
NCH54,OUT017,3111.4646
NCP14,OUT010,321.81094
FDM60,OUT010,162.11888
FDV24,OUT017,2103.6448
FDH08,OUT018,4429.5376
FDS12,OUT027,3377.5784
FDR39,OUT027,4733.632
FDP12,OUT027,996.3978
DRF60,OUT027,7658.955
FDC09,OUT035,1643.7087
FDF50,OUT018,2171.3347
FDG28,OUT035,3181.2666
NCE19,OUT017,704.66235
NCM53,OUT010,600.2994
NCN18,OUT049,1925.0425
FDF32,OUT035,3474.649
FDF11,OUT013,3258.1335
DRI59,OUT049,4224.6626
NCG54,OUT035,3168.861
FDM44,OUT046,1508.9963
FDT57,OUT018,2556.0051
FDV24,OUT046,2189.4897
FDI50,OUT019,730.4144
FDS09,OUT035,783.40967
NCC31,OUT027,3505.8687
FDQ07,OUT019,225.9511
FDC22,OUT017,3122.3093
FDZ56,OUT046,2874.298
FDZ40,OUT019,293.43073
FDS46,OUT027,2741.387
DRD24,OUT045,2308.7837
FDV45,OUT017,3199.198
FDL26,OUT045,2472.6023
FDA56,OUT018,1561.308
FDN27,OUT046,1287.1417
FDM20,OUT049,3852.9355
FDO16,OUT017,2358.1377
FDL03,OUT035,3032.4026
FDE58,OUT046,1760.6758
FDI02,OUT027,3008.9263
NCC55,OUT019,100.44876
FDR03,OUT018,3668.3896
FDB14,OUT017,1435.1664
FDR45,OUT013,3930.2295
NCN07,OUT017,2382.2307
FDM51,OUT019,267.48172
FDT52,OUT027,5327.0864
FDL26,OUT046,2478.362
NCZ42,OUT046,4142.8823
DRI47,OUT019,556.4308
FDW40,OUT013,2756.6365
FDN34,OUT046,4211.125
FDS01,OUT035,2767.9773
NCG55,OUT045,1829.7462
FDC11,OUT035,1253.3209
FDX35,OUT018,2189.8154
NCB06,OUT046,2442.4248
FDR09,OUT019,229.24911
FDC53,OUT017,1603.216
FDY45,OUT013,4669.7925
FDA22,OUT010,862.57855
FDE02,OUT035,1735.2533
FDW21,OUT045,1535.1749
FDV34,OUT046,1276.6519
FDS59,OUT049,1969.041
NCW17,OUT017,2578.0552
NCK54,OUT046,1876.7743
FDG17,OUT019,-227.00598
FDG35,OUT017,3905.4426
FDD08,OUT010,8.781571
NCO07,OUT017,4694.5996
FDJ10,OUT010,114.28879
FDW36,OUT017,1438.9198
FDW21,OUT010,461.93222
FDY19,OUT017,2226.8257
DRE03,OUT013,627.944
NCC55,OUT049,754.9653
FDH52,OUT010,233.56886
FDO09,OUT017,4795.113
FDU43,OUT045,4124.8364
FDX09,OUT010,488.68558
FDH40,OUT019,242.1595
FDW58,OUT017,1463.1548
FDC47,OUT017,5355.544
NCR41,OUT035,1676.8582
DRG49,OUT035,5178.074
FDC52,OUT027,2525.8743
FDY13,OUT046,1246.1473
FDY35,OUT013,760.6329
FDI35,OUT017,4791.5063
NCU18,OUT049,2017.6826
FDY33,OUT018,3027.7183
FDC15,OUT027,2342.1208
FDU01,OUT049,3980.1003
NCU42,OUT046,3330.2034
NCV29,OUT018,1881.6715
NCY30,OUT017,2906.7756
FDQ46,OUT049,1579.1891
FDG58,OUT027,3258.13
FDK33,OUT017,4235.9688
NCD07,OUT045,1389.1305
NCX29,OUT027,3648.9683
NCT42,OUT013,1803.0608
DRN59,OUT035,678.8796
FDI44,OUT035,1269.2555
FDA45,OUT049,2625.7363
FDP31,OUT045,705.3183
FDY01,OUT046,1696.774
FDT09,OUT018,1938.5015
DRH03,OUT027,2036.8873
FDA36,OUT018,2322.1626
NCF31,OUT017,2379.069
FDG14,OUT049,2735.507
FDG28,OUT027,5193.707
FDU14,OUT049,4566.4756
FDY47,OUT019,214.70116
FDI56,OUT049,1373.4423
DRD01,OUT013,798.70593
FDM22,OUT046,1138.2375
FDH33,OUT013,730.07086
DRZ24,OUT013,1893.2152
NCQ38,OUT046,1600.6499
FDO16,OUT027,1796.6056
FDU07,OUT027,4492.615
NCB07,OUT013,2887.0156
FDU48,OUT045,2072.56
NCM43,OUT045,2799.6472
FDR31,OUT010,427.7029
DRK49,OUT018,439.1101
NCI30,OUT010,-50.89761
DRD60,OUT017,3506.2795
NCG19,OUT046,2837.37
FDH12,OUT035,1681.2479
FDM32,OUT035,1436.3746
FDM27,OUT035,2791.8218
NCU53,OUT027,4673.656
NCQ18,OUT046,1526.4563
FDS10,OUT013,2496.2341
FDB33,OUT027,3776.1138
FDI12,OUT013,1426.1897
NCW42,OUT013,3909.2112
NCC06,OUT018,2565.496
FDW02,OUT017,2851.8206
NCD43,OUT017,1866.1538
FDM57,OUT018,845.73016
FDA58,OUT017,3170.9482
FDK56,OUT046,2974.1218
FDP52,OUT045,4382.4985
FDW20,OUT018,1987.0398
FDS52,OUT049,1536.8757
NCT29,OUT018,1401.1504
NCL54,OUT013,3156.9512
FDC05,OUT045,3055.9294
FDF34,OUT035,3125.389
FDP03,OUT027,3247.862
FDD32,OUT010,169.27487
FDZ10,OUT045,2304.1858
FDZ40,OUT035,977.16626
FDD51,OUT018,465.50592
NCY30,OUT019,348.53433
FDP58,OUT017,2545.5034
FDV49,OUT017,4040.064
FDY24,OUT019,136.71777
NCO55,OUT017,1825.886
FDR13,OUT017,1996.9366
FDS51,OUT017,849.67267
FDP26,OUT045,1666.5027
NCB54,OUT027,3373.601
FDF32,OUT017,3240.9548
FDN31,OUT018,2742.2332
DRM48,OUT017,811.59436
FDN20,OUT049,2545.5366
DRL01,OUT046,4410.538
FDV56,OUT049,1441.4744
DRH13,OUT027,2553.9956
FDA03,OUT017,2216.7534
FDF47,OUT027,4573.8813
FDX32,OUT046,2432.0159
FDX57,OUT049,1604.6251
NCA30,OUT045,2684.4246
FDO49,OUT013,462.38885
FDL04,OUT019,226.93616
DRM48,OUT035,942.3739
FDR16,OUT013,5751.851
NCC19,OUT018,2723.7031
NCE42,OUT045,3110.2324
FDY24,OUT017,1600.5288
FDH19,OUT049,2234.6501
FDJ46,OUT013,2396.0166
FDN45,OUT010,473.17212
FDY08,OUT035,2325.2632
FDZ37,OUT035,1840.4932
NCT30,OUT045,671.5592
DRY23,OUT018,477.08377
NCZ30,OUT018,1830.4
FDC44,OUT018,1676.9637
FDB45,OUT035,1307.8341
FDY04,OUT013,2335.7402
FDM27,OUT046,2705.3567
FDZ43,OUT017,4497.1484
FDT39,OUT019,471.5025
NCC06,OUT019,290.77515
FDL15,OUT027,3525.4546
FDL57,OUT017,5590.048
FDU08,OUT046,1318.9043
FDK40,OUT017,4248.1504
FDQ12,OUT010,450.43445
FDS48,OUT017,2872.9138
FDP09,OUT045,3497.8254
FDW21,OUT049,1560.676
FDY25,OUT035,4114.6606
DRE13,OUT017,1553.4269
FDV43,OUT019,22.798332
FDD22,OUT045,1621.2156
FDM46,OUT019,333.54214
NCO30,OUT010,292.8721
FDM25,OUT046,2510.4858
NCN41,OUT049,2084.0432
FDU24,OUT045,1502.9927
FDZ50,OUT046,3041.1877
FDP45,OUT013,3736.0496
NCM54,OUT045,2259.387
FDW10,OUT019,54.52414
FDP20,OUT017,1950.8025
FDK32,OUT046,2525.3086
FDN52,OUT049,1322.2609
FDM58,OUT045,2530.4392
FDZ46,OUT027,3003.3223
NCA18,OUT018,1375.1815
FDD35,OUT046,1877.451
NCK31,OUT035,783.4224
FDI40,OUT027,2865.5447
FDT50,OUT019,229.58246
NCT06,OUT046,2863.7766
FDT31,OUT035,3508.2898
FDT45,OUT049,671.1231
FDT13,OUT045,3963.379
FDO50,OUT045,1362.3026
NCU18,OUT010,752.77454
NCR54,OUT049,3612.8562
NCO18,OUT018,2395.2932
FDU09,OUT045,813.90784
FDT13,OUT018,2534.8967
FDE09,OUT046,1577.7316
NCK53,OUT019,346.7929
FDG45,OUT049,4672.0894
DRH15,OUT035,670.07465
FDO21,OUT019,713.5382
FDD14,OUT027,4591.218
FDC09,OUT046,1532.2413
FDH45,OUT027,1061.1067
FDV32,OUT046,1198.6667
FDG12,OUT035,1670.4608
FDS32,OUT013,1739.5635
NCL55,OUT018,4180.7305
DRE01,OUT035,3635.4292
DRE15,OUT049,1299.1572
NCL42,OUT045,4776.9634
FDP31,OUT013,845.8283
FDN33,OUT018,1402.4545
FDZ59,OUT046,2993.059
FDE45,OUT010,422.26212
FDJ07,OUT013,1725.5872
FDQ45,OUT018,3319.129
FDM33,OUT027,5408.5874
FDO15,OUT010,244.9538
FDM46,OUT013,1472.9622
FDR03,OUT045,4461.0654
FDY49,OUT018,1692.1764
FDQ60,OUT045,1674.7023
FDW10,OUT049,3998.497
FDO51,OUT049,803.1049
FDJ40,OUT018,1216.288
FDS20,OUT018,2558.0735
FDU45,OUT013,2147.4873
FDV02,OUT035,2450.3152
FDN09,OUT046,3078.4333
NCM55,OUT027,5595.7773
FDN23,OUT018,2122.1057
FDY31,OUT010,488.90823
FDW03,OUT010,437.0766
FDD14,OUT046,3306.268
FDV23,OUT017,2036.5887
DRI03,OUT045,1934.2576
FDN13,OUT035,1450.0933
FDF45,OUT027,1784.2198
FDU46,OUT035,1280.0134
FDB57,OUT049,3899.2183
FDV12,OUT049,1898.8225
FDQ58,OUT013,2070.576
NCA18,OUT017,1528.7911
FDH52,OUT049,893.761
FDM24,OUT018,2382.671
NCP43,OUT027,4164.6714
NCO18,OUT019,444.28162
FDM32,OUT017,1460.4309
NCL07,OUT017,602.20074
FDK03,OUT013,3938.5745
FDP59,OUT017,1229.0894
FDQ24,OUT049,4555.33
FDQ16,OUT018,1462.5917
FDU44,OUT013,2518.0376
FDH28,OUT010,-17.085419
FDV28,OUT019,67.38718
FDM22,OUT045,1037.9092
FDR56,OUT046,2441.038
FDV39,OUT049,2878.5164
FDU37,OUT019,234.83786
FDQ11,OUT010,-627.0102
FDX02,OUT045,3824.9543
NCS42,OUT018,1014.3846
FDY57,OUT027,2789.7424
FDB21,OUT049,4026.603
FDE28,OUT017,3419.7942
FDQ55,OUT017,2168.9365
FDA48,OUT049,3467.9329
FDZ19,OUT045,2190.6125
NCC43,OUT045,2961.5698
NCV18,OUT046,1624.2566
NCA42,OUT018,2633.387
FDY45,OUT046,3992.3088
NCC30,OUT045,2725.1082
FDM57,OUT013,1508.763
FDL09,OUT010,315.84784
FDB09,OUT027,3436.9766
FDT44,OUT035,1879.9312
NCT06,OUT027,4081.8452
FDX26,OUT049,3440.1152
FDK32,OUT013,3034.6453
DRA12,OUT046,2428.5183
FDO46,OUT010,100.44732
FDE52,OUT013,1087.1746
NCH42,OUT045,4117.5576
FDV08,OUT035,793.8863
FDB47,OUT018,2854.7417
FDC28,OUT010,277.78546
FDD22,OUT046,1375.307
FDS07,OUT027,3390.6147
DRI13,OUT045,4192.0127
FDG32,OUT018,2539.3704
FDU14,OUT017,4684.3174
FDD28,OUT019,-286.81638
NCP41,OUT017,1602.1941
FDS08,OUT049,1551.2091
FDX47,OUT045,1830.4974
FDC53,OUT019,210.85832
FDQ19,OUT035,4843.966
FDL14,OUT045,2203.6218
FDM33,OUT019,579.2825
FDA51,OUT045,2248.507
FDZ27,OUT018,627.01794
FDT04,OUT046,542.87854
DRC13,OUT049,2144.981
FDR16,OUT027,4856.8584
FDQ03,OUT027,6403.1772
FDE38,OUT035,3084.3384
DRH23,OUT027,1985.6936
FDT11,OUT019,462.07608
FDD09,OUT035,3354.4912
FDR40,OUT045,1364.6611
FDX07,OUT017,3134.5623
FDR07,OUT035,1140.4856
FDA51,OUT017,2471.6318
FDT59,OUT019,531.895
FDF20,OUT017,3573.022
FDR13,OUT045,1769.1378
FDY26,OUT049,6022.735
FDW04,OUT017,2068.4915
FDK52,OUT017,6198.6523
FDN60,OUT049,3109.9893
FDM09,OUT019,311.67288
FDP46,OUT049,1312.2076
FDB50,OUT019,296.91638
NCQ29,OUT049,4490.2495
FDP16,OUT027,6755.285
FDX33,OUT018,2102.7195
FDP07,OUT010,410.95578
FDN22,OUT046,3019.387
FDF39,OUT049,5570.5576
FDS21,OUT017,791.4738
NCM42,OUT013,1749.9773
FDK50,OUT019,112.85872
DRF13,OUT027,3427.8755
FDH35,OUT018,2319.629
FDP60,OUT018,1076.756
DRJ49,OUT027,3066.6921
NCT42,OUT019,319.07013
FDE38,OUT049,2887.5227
FDI04,OUT049,2280.1152
NCH54,OUT045,2558.1401
FDT56,OUT049,950.3409
DRD15,OUT018,2777.076
FDV58,OUT013,2161.1553
FDP21,OUT049,3522.95
FDH05,OUT013,2888.506
FDR10,OUT027,3837.1052
NCP06,OUT045,2265.0513
FDF33,OUT049,2630.7234
DRK37,OUT013,3687.4497
DRH49,OUT045,1322.8005
FDT58,OUT013,2186.9233
FDD41,OUT018,1365.8964
FDP40,OUT018,1298.1984
FDM51,OUT027,2600.4966
FDO45,OUT010,142.91359
FDW33,OUT010,186.33186
FDY24,OUT045,756.57794
FDB10,OUT010,243.16486
FDM40,OUT035,2312.3228
NCI06,OUT017,2682.7551
FDW12,OUT019,389.80298
FDX48,OUT027,3850.8452
NCW05,OUT027,2511.8008
FDX27,OUT017,1556.8383
DRM37,OUT045,3711.7551
FDA38,OUT045,3038.335
FDR36,OUT046,672.5886
FDZ45,OUT046,3389.396
FDG05,OUT017,2606.507
FDK28,OUT013,5661.3037
FDV47,OUT045,1243.2208
FDN21,OUT045,1988.9525
FDP20,OUT027,3880.0093
FDI35,OUT045,3997.1929
DRY23,OUT013,636.2896
FDA56,OUT017,2476.267
FDB09,OUT013,1844.7029
NCO26,OUT027,3185.3955
FDQ49,OUT018,2069.4114
FDI52,OUT027,3222.0286
FDZ44,OUT027,3298.1633
FDZ09,OUT018,2215.5032
FDY03,OUT049,2006.5632
NCG42,OUT017,2293.5044
DRI13,OUT027,5754.9443
FDQ32,OUT013,2066.893
FDW16,OUT035,1437.8075
FDU27,OUT046,783.52374
FDR28,OUT010,505.4895
FDQ49,OUT010,304.34467
FDS37,OUT046,1870.599
FDW26,OUT018,2913.09
FDX12,OUT018,4313.062
NCP06,OUT013,2331.0232
FDW45,OUT010,177.29506
NCN30,OUT049,1668.3359
FDN24,OUT049,1069.7446
NCL41,OUT027,1049.965
FDR02,OUT019,99.7175
FDD09,OUT010,467.45126
FDS33,OUT010,156.72366
FDU22,OUT045,1763.1846
FDI53,OUT013,2286.6921
DRH01,OUT049,3189.4116
FDX32,OUT013,2232.0132
NCP30,OUT018,584.5146
FDB60,OUT045,3004.2976
FDB14,OUT049,1433.2179
NCP02,OUT035,1087.6146
FDJ10,OUT017,1943.8383
FDG34,OUT046,2225.8123
NCB18,OUT017,1468.94
FDM16,OUT049,1478.546
FDW25,OUT018,1242.585
FDB35,OUT010,242.96385
DRN11,OUT013,2385.9956
FDF41,OUT019,1128.8958
FDH16,OUT045,1121.9684
NCQ50,OUT018,3805.626
DRH23,OUT018,690.5428
DRJ37,OUT013,2114.1504
DRJ24,OUT027,4924.019
FDY16,OUT035,3631.2466
FDQ27,OUT045,2065.109
FDZ33,OUT045,1878.0378
FDF29,OUT045,2212.2737
FDA08,OUT049,2657.427
FDG31,OUT046,1107.8312
FDE34,OUT019,619.86945
NCR30,OUT027,1925.5195
FDV33,OUT035,3984.7373
DRZ24,OUT018,1589.3767
NCL54,OUT035,2797.7083
FDR12,OUT049,2328.649
NCC54,OUT046,4169.9
DRN59,OUT013,744.9899
FDX50,OUT019,192.43352
FDV31,OUT027,4108.9775
NCA29,OUT027,5325.364
FDW60,OUT049,1703.449
FDX08,OUT017,3471.9163
DRD49,OUT013,2619.2986
FDD33,OUT046,3910.7769
FDW35,OUT013,618.227
FDJ36,OUT017,1927.576
FDV51,OUT035,3426.3228
FDW36,OUT046,1384.9847
FDH35,OUT046,2025.961
NCS30,OUT027,3337.9272
FDN49,OUT017,452.42114
FDL08,OUT018,2987.9924
FDI09,OUT013,3993.8318
FDP19,OUT018,1874.0996
FDU21,OUT010,-189.84436
NCP41,OUT045,1446.6617
FDY10,OUT013,1935.5652
FDP12,OUT018,439.02036
NCN26,OUT049,1951.8998
FDK44,OUT013,2396.2524
FDC28,OUT049,1547.3293
FDJ41,OUT027,5958.6255
NCT29,OUT035,2506.5002
NCH42,OUT019,525.06805
FDU60,OUT018,2553.625
FDS02,OUT045,3447.7476
FDC51,OUT046,1765.2758
FDU03,OUT013,3284.507
FDX39,OUT045,3961.7363
NCY05,OUT010,87.73893
NCL06,OUT027,5520.972
FDD32,OUT035,1816.1
NCN41,OUT045,2060.099
NCX53,OUT049,2433.0334
FDU57,OUT019,333.41418
FDQ23,OUT046,1891.2537
FDQ52,OUT045,4976.4395
FDC14,OUT045,331.83127
FDY09,OUT035,3312.1106
FDQ28,OUT045,2090.9
FDV25,OUT046,5638.6333
FDJ07,OUT035,1978.2094
DRB25,OUT049,1591.6787
FDK52,OUT019,533.10077
FDY52,OUT027,1480.5745
FDB28,OUT046,3071.7048
FDT36,OUT035,631.16174
FDV25,OUT017,5500.065
NCN07,OUT027,3550.591
FDC57,OUT017,3394.4724
FDQ03,OUT018,1930.0043
FDU23,OUT017,3237.882
NCX41,OUT035,4242.4917
NCD06,OUT035,761.1749
FDW08,OUT045,1552.5662
NCU29,OUT017,2323.961
NCE06,OUT013,2032.0131
FDV52,OUT010,202.59601
FDB02,OUT017,2940.1084
NCR18,OUT045,632.09424
FDK16,OUT049,1372.7273
NCQ29,OUT010,712.7517
FDZ01,OUT019,239.89912
FDW27,OUT035,2206.3274
FDD17,OUT018,3623.258
FDW39,OUT013,2269.4402
DRH59,OUT045,799.25415
FDS52,OUT013,1636.7435
FDU40,OUT027,6022.847
NCF54,OUT013,2813.69
FDH46,OUT045,1589.3467
NCP14,OUT049,1828.0171
FDH50,OUT049,2960.696
DRF15,OUT010,286.8505
FDV27,OUT027,2115.4666
NCJ06,OUT049,2168.513
FDN02,OUT018,3217.8926
FDQ51,OUT049,700.2569
FDQ07,OUT017,4086.3425
FDS45,OUT049,2113.4968
NCJ06,OUT045,1970.0228
FDD36,OUT035,2055.865
FDY25,OUT045,4057.319
FDU52,OUT046,2281.6138
DRK47,OUT017,3470.3774
NCL30,OUT017,1973.5392
FDN22,OUT035,3432.7136
NCF30,OUT027,3327.6504
FDK03,OUT035,5675.294
FDT45,OUT017,718.4427
NCC54,OUT027,5681.77
FDP08,OUT018,2299.794
FDU44,OUT046,2901.0679
DRG39,OUT035,887.0941
FDU32,OUT049,1807.6213
FDY27,OUT049,2548.5964
NCP54,OUT013,1967.7468
NCZ41,OUT049,1925.3584
DRL49,OUT013,2257.43
FDI05,OUT018,1339.2452
FDY56,OUT045,5244.897
DRC13,OUT013,1551.9645
NCV29,OUT017,3057.0835
FDR24,OUT049,1362.9608
FDZ34,OUT018,2725.9487
FDP37,OUT035,2316.541
FDX08,OUT027,4291.7485
FDS57,OUT045,1796.8655
NCG18,OUT049,1704.8002
FDK25,OUT018,2827.855
FDH53,OUT049,1307.641
DRI59,OUT018,3545.1318
FDA52,OUT046,2644.589
FDT20,OUT010,-100.70718
FDE36,OUT019,434.18768
FDI24,OUT017,3698.621
FDB28,OUT018,2993.0383
FDV11,OUT017,3335.5532
FDP01,OUT046,2251.1594
FDD34,OUT027,4096.782
FDJ50,OUT027,1519.9824
FDZ44,OUT013,1608.2909
DRO59,OUT035,1262.8159
DRB48,OUT045,657.065
FDR21,OUT018,2544.271
NCE42,OUT010,720.0565
FDO23,OUT046,1510.9393
NCE30,OUT018,2925.4863
FDQ22,OUT035,844.63434
FDY01,OUT045,1879.8309
FDS08,OUT017,951.4319
FDG28,OUT018,2229.8804
FDQ51,OUT018,759.1858
FDB05,OUT017,5686.137
FDO56,OUT049,1830.8679
FDE02,OUT018,1230.5912
FDN45,OUT017,3731.316
FDS09,OUT013,690.8442
NCA54,OUT018,1998.5763
FDP09,OUT010,187.98865
FDC53,OUT045,1406.1165
NCM55,OUT017,3828.2969
FDL09,OUT018,2108.9453
FDA11,OUT019,120.47559
FDA50,OUT045,1508.6112
FDC23,OUT017,3549.7893
FDE22,OUT049,2772.998
FDD23,OUT046,3750.3782
NCA29,OUT049,3621.8267
FDK38,OUT046,2411.198
DRC13,OUT046,2240.0261
NCP43,OUT049,2826.8728
FDX28,OUT049,1544.1542
FDF08,OUT049,1438.81
FDZ33,OUT046,1971.2723
FDD10,OUT049,2260.65
FDO58,OUT017,3055.0872
FDI50,OUT017,5102.5415
FDO58,OUT045,2331.2727
FDX08,OUT013,2996.1824
NCK17,OUT010,-36.128044
FDF39,OUT035,4079.1055
FDU45,OUT010,296.95694
NCJ18,OUT018,1675.9437
DRC27,OUT019,-350.90488
DRC25,OUT035,1679.6196
FDU59,OUT035,1743.5879
FDU28,OUT035,3540.0151
NCP30,OUT046,738.264
FDB39,OUT018,740.88586
FDE41,OUT013,1129.4762
DRH11,OUT010,320.67014
FDA58,OUT045,3373.8264
FDU50,OUT046,1650.1292
FDM34,OUT013,2116.2908
FDM44,OUT027,2395.7234
FDR39,OUT045,2739.1099
FDM25,OUT045,2448.028
FDQ49,OUT049,2015.4413
DRH25,OUT018,472.3529
FDM09,OUT027,3562.8145
FDL44,OUT019,591.4151
NCR42,OUT018,392.3611
DRL59,OUT046,773.09515
FDX43,OUT013,2513.795
DRK47,OUT010,639.15106
FDU48,OUT018,1362.747
FDY12,OUT045,758.50385
NCN43,OUT018,1722.6467
NCM55,OUT018,2891.6396
FDQ21,OUT027,3524.2815
FDX13,OUT035,3595.0012
NCK30,OUT027,5383.8906
FDG20,OUT049,2079.65
DRG27,OUT017,670.29083
FDY14,OUT018,3975.3132
FDP59,OUT035,1262.1709
FDU60,OUT017,4273.041
NCC18,OUT019,422.62155
DRJ39,OUT017,4284.184
FDS07,OUT049,1863.0471
FDM08,OUT027,6226.938
FDP51,OUT045,2119.0051
FDU16,OUT035,1334.8156
FDH12,OUT013,1440.9302
DRE48,OUT010,1147.4032
NCL42,OUT027,6946.5923
FDR21,OUT045,2672.182
NCW29,OUT035,2278.0864
FDO11,OUT013,4875.8906
NCM31,OUT049,1954.8257
FDV35,OUT019,505.1261
FDF58,OUT017,915.0615
NCE43,OUT049,3615.0513
FDA02,OUT035,2361.7832
DRL37,OUT010,117.30684
FDR24,OUT018,1178.5938
FDW59,OUT049,1344.1666
FDS22,OUT049,549.43304
FDW24,OUT017,818.98505
FDU24,OUT035,1640.1919
FDA21,OUT027,4947.3936
FDH58,OUT027,3159.272
FDW36,OUT018,1214.1858
FDI45,OUT027,5291.385
FDU01,OUT018,2079.5122
FDF35,OUT027,2766.4463
